,Name,Rank,Year,Rating
118,Le fabuleux destin d'Amélie Poulain,119,2001,8.2
119,To Kill a Mockingbird,120,1962,8.2
120,Toy Story 3,121,2010,8.2
121,Per qualche dollaro in più,122,1965,8.2
122,Up,123,2009,8.2
123,Pather Panchali,124,1955,8.2
124,Indiana Jones and the Last Crusade,125,1989,8.2
125,Heat,126,1995,8.2
126,L.A. Confidential,127,1997,8.2
127,Ran,128,1985,8.2
128,Die Hard,129,1988,8.2
129,Yôjinbô,130,1961,8.2
130,Green Book,131,2018,8.2
131,Rashômon,132,1950,8.2
132,Der Untergang,133,2004,8.2
133,All About Eve,134,1950,8.2
134,Monty Python and the Holy Grail,135,1975,8.2
135,Some Like It Hot,136,1959,8.2
136,Batman Begins,137,2005,8.2
137,Unforgiven,138,1992,8.2
138,Jai Bhim,139,2021,8.2
139,Bacheha-Ye aseman,140,1997,8.2
140,Hauru no ugoku shiro,141,2004,8.2
141,The Wolf of Wall Street,142,2013,8.2
142,Judgment at Nuremberg,143,1961,8.2
143,There Will Be Blood,144,2007,8.2
144,Casino,145,1995,8.2
145,The Great Escape,146,1963,8.2
146,The Treasure of the Sierra Madre,147,1948,8.2
147,Pan's Labyrinth,148,2006,8.1
148,A Beautiful Mind,149,2001,8.1
149,El secreto de sus ojos,150,2009,8.1
150,Raging Bull,151,1980,8.1
151,Chinatown,152,1974,8.1
152,Tonari no Totoro,153,1988,8.1
153,Shutter Island,154,2010,8.1
154,"Lock, Stock and Two Smoking Barrels",155,1998,8.1
155,No Country for Old Men,156,2007,8.1
156,Klaus,157,2019,8.1
157,Dial M for Murder,158,1954,8.1
158,The Thing,159,1982,8.1
159,The Gold Rush,160,1925,8.1
160,"Three Billboards Outside Ebbing, Missouri",161,2017,8.1
161,Det sjunde inseglet,162,1957,8.1
162,The Elephant Man,163,1980,8.1
163,The Sixth Sense,164,1999,8.1
164,Jurassic Park,165,1993,8.1
165,The Truman Show,166,1998,8.1
166,Dersu Uzala,167,1975,8.1
167,Smultronstället,168,1957,8.1
168,The Third Man,169,1949,8.1
169,Salinui chueok,170,2003,8.1
170,V for Vendetta,171,2005,8.1
171,Blade Runner,172,1982,8.1
172,Trainspotting,173,1996,8.1
173,Fargo,174,1996,8.1
174,The Bridge on the River Kwai,175,1957,8.1
175,Inside Out,176,2015,8.1
176,Kill Bill: Vol. 1,177,2003,8.1
177,Finding Nemo,178,2003,8.1
178,Warrior,179,2011,8.1
179,Gone with the Wind,180,1939,8.1
180,Tôkyô monogatari,181,1953,8.1
181,On the Waterfront,182,1954,8.1
182,Babam ve Oglum,183,2005,8.1
183,Prisoners,184,2013,8.1
184,Relatos salvajes,185,2014,8.1
185,The Grand Budapest Hotel,186,2014,8.1
186,Stalker,187,1979,8.1
187,The Deer Hunter,188,1978,8.1
188,Gran Torino,189,2008,8.1
189,The General,190,1926,8.1
190,Persona,191,1966,8.1
191,Sherlock Jr.,192,1924,8.1
192,Before Sunrise,193,1995,8.1
193,Catch Me If You Can,194,2002,8.1
194,Mary and Max.,195,2009,8.1
195,Mr. Smith Goes to Washington,196,1939,8.1
196,Barry Lyndon,197,1975,8.1
197,In the Name of the Father,198,1993,8.1
198,Hacksaw Ridge,199,2016,8.1
199,Gone Girl,200,2014,8.1
200,Room,201,2015,8.1
201,Z,202,1969,8.1
202,Andhadhun,203,2018,8.1
203,La passion de Jeanne d'Arc,204,1928,8.1
204,Ford v Ferrari,205,2019,8.1
205,12 Years a Slave,206,2013,8.1
206,Dune: Part One,207,2021,8.1
207,To Be or Not to Be,208,1942,8.1
208,The Big Lebowski,209,1998,8.1
209,Dead Poets Society,210,1989,8.1
210,Harry Potter and the Deathly Hallows: Part 2,211,2011,8.1
211,Ben-Hur,212,1959,8.1
212,How to Train Your Dragon,213,2010,8.1
213,Mad Max: Fury Road,214,2015,8.1
214,Million Dollar Baby,215,2004,8.1
215,Höstsonaten,216,1978,8.1
216,Le salaire de la peur,217,1953,8.1
217,Stand by Me,218,1986,8.1
218,Ah-ga-ssi,219,2016,8.1
219,Network,220,1976,8.1
220,Logan,221,2017,8.1
221,Gangs of Wasseypur,222,2012,8.1
222,La haine,223,1995,8.1
223,Koe no katachi,224,2016,8.1
224,Hachi: A Dog's Tale,225,2009,8.0
225,Cool Hand Luke,226,1967,8.0
226,Les quatre cents coups,227,1959,8.0
227,Platoon,228,1986,8.0
228,Spotlight,229,2015,8.0
229,"Monsters, Inc.",230,2001,8.0
230,Rebecca,231,1940,8.0
231,Life of Brian,232,1979,8.0
232,Fa Yeung Nin Wah,233,2000,8.0
233,Eskiya,234,1996,8.0
234,Hotel Rwanda,235,2004,8.0
235,Rush,236,2013,8.0
236,Rocky,237,1976,8.0
237,Kimetsu no Yaiba: Mugen Ressha-Hen,238,2020,8.0
238,Amores perros,239,2000,8.0
239,Into the Wild,240,2007,8.0
240,Kaze no tani no Naushika,241,1984,8.0
241,Drishyam,242,2013,8.0
242,Before Sunset,243,2004,8.0
243,It Happened One Night,244,1934,8.0
244,Miracle in Cell No. 7,245,2019,8.0
245,Le notti di Cabiria,246,1957,8.0
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",247,1997,8.0
247,Andrei Rublev,248,1966,8.0
248,La battaglia di Algeri,249,1966,8.0
249,Drishyam 2,250,2021,8.0
